Table,en-UK,ru-RU,zh-CN
ProjectDiagnostics_LP_FailedToCombineGlyphs_Details,Failed to combine glyphs to {0}\nPlease check what's wrong by running: {1},Не удалось запечь текстуру для шрифта {0}.\nДополнительную информацию можно получить используя {1},未能将字形组合到 {0} 中\n 请运行以下命令检查错误情况：{1}
ProjectDiagnostics_LP_SoundCompression_Description,Sound compression failed,Ошибка компрессии аудиофайла,音效压缩失败
ProjectDiagnostics_LP_SoundCompression_Details,Failed to compress sound {0}\n{1},Не удалось обработать аудио клип {0}\n{1},压缩音效失败 {0}\n{1}
ProjectDiagnostics_LP_TextureCompression_Description,Texture compression failed,Ошибка компрессии текстуры,纹理压缩失败
ProjectDiagnostics_LP_TextureCompression_Details,Failed to compress texture {0}\n{1},Не удалось обработать текстуру {0}\n{1},压缩纹理失败 {0}\n{1}
ProjectDiagnostics_LP_CustomScript_Description,Asset Processing Failed,Ошибка обработки ассета,资源处理失败
ProjectDiagnostics_LP_CustomScript_Details,"Failed to process asset  {0}, Check custom script {1} attached to {2}\n{3}",Не удалось обработать ассет {0}. Проверьте специализированный скрипт {1} применяемый к {2}\n{3},处理资源失败 {0}，请检查附加到 {2} 的自定义脚本 {1}\n{3}
ProjectDiagnostics_LP_EngineBuild_Description,Engine build exception,Ошибка сборки,引擎构建异常
ProjectDiagnostics_LP_AssetManifest_Details,Asset Path: {0}\nJSON: {1},Путь к ассету: {0}\nJSON: {1},资源路径：{0}\nJSON: {1}
,,,
ProjectDiagnostics_OpenDocs,Open Documentation,Открыть документацию,打开文档
ProjectDiagnostics_BuildSuccessful,Build Successful,Сборка завершена успешно,构建成功
ProjectDiagnostics_BuildFailed,Build failed at,Сборка прервана на,构建失败位置
ProjectDiagnostics_ReportIssue_Success,Report sent successfully!,Отчет отправлен успешно!,报告发送成功！
,,,
ProjectDiagnostics_LP_MSBuildVersion_Description,Invalid MSBuild version,Невалидная MSBuild версия,无效的 MSBuild 版本
ProjectDiagnostics_LP_MSBuildVersion_Details,MSBuild 15 or higher is required.\nMSBuild can be updated through the Visual Studio installer or here\nhttps://visualstudio.microsoft.com/thank-you-downloading-visual-studio/?sku=BuildTools&rel=16\nCurrent path in use: '{0}',Требуется MSBuild версии 15 или выше.\nMSBuild может быть обновлен через Visual Studio установщик или по этой ссылке\nhttps://visualstudio.microsoft.com/thank-you-downloading-visual-studio/?sku=BuildTools&rel=16\nТекущий путь: '{0}',需要 MSBuild 15 或更高版本\nMSBuild 可以从 Visual Studio Installer 更新或从这里下载\nhttps://visualstudio.microsoft.com/thank-you-downloading-visual-studio/?sku=BuildTools&rel=16\n现在使用的路径: '{0}'
ProjectDiagnostics_LP_MSBuildPath_Description,Invalid MSBuild path,Невалидный путь к MSBuild ,无效的 MSBuild 路径
ProjectDiagnostics_LP_MSBuildPath_Details,MSBuild failed to be invoked. Please make sure you have a proper path to MSBuild 15 or higher binary configured in Luna UI.\nMSBuild can also be installed through the visual studio installer or here\nhttps://visualstudio.microsoft.com/thank-you-downloading-visual-studio/?sku=BuildTools&rel=16\nCurrent path in use: '{0}',"Не удалось вызвать MSBuild. Пожалуйста, убедитесь, что Вы указали верный путь к MSBuild в окне плагина.\nMSBuild может быть обновлен через Visual Studio установщик или по этой ссылке\nhttps://visualstudio.microsoft.com/thank-you-downloading-visual-studio/?sku=BuildTools&rel=16\nТекущий путь: '{0}'",MSBuild 调用失败。请确保在 Luna UI 中正确配置了 MSBuild 15 或更高版本的路径。\nMSBuild 可以从 Visual Studio Installer 更新或从这里下载\nhttps://visualstudio.microsoft.com/thank-you-downloading-visual-studio/?sku=BuildTools&rel=16\n现在使用的路径: '{0}'
ProjectDiagnsotics_LP_DotNetVersion_Description,Invalid .Net version,Невалидная версия .Net,无效的 .Net 版本
ProjectDiagnostics_LP_DotNetVersion_Details,.Net 4.7 or higher is required. Please make sure .Net 4.7 is installed\nhttps://docs.lunalabs.io/docs/playable/setup/dependencies/#install-net-47,"Необходима .Net 4.7 или выше. Пожалуйста, убедитесь, что .Net 4.7 установлена\nhttps://docs.lunalabs.io/docs/playable/setup/dependencies/#install-net-47",需要 .Net 4.7 或更高版本。请确保已安装 .Net 4.7\nhttps://docs.lunalabs.io/docs/playable/setup/dependencies/#install-net-47
ProjectDiagnostics_LP_HugeRamUsage_Description,Playable has huge RAM usage,Плеебл использует много RAM,可玩广告使用了大量的内存
ProjectDiagnostics_LP_HugeRamUsage_Details,Maximum RAM value must be lower than recommended value - {0} MB. Current value is {1} MB. Otherwise this will prevent playable support on older devices,Максимальное значение RAM должно быть ниже рекомендуемого значения - {0} МБ. Текущее значение {1} МБ. Иначе это не позволит поддерживать плеебл на старых устройствах,最大内存必须小于推荐值 - {0} MB。目前值 {1} MB。超出会导致可玩广告无法在旧设备上运行。
ProjectDiagnostics_LP_ManyFacebookFiles_Description,Too many files for facebook platform in use,Слишком много файлов для facebook платформы,"文件数量超出 Facebook 平台限制
"
ProjectDiagnostics_LP_ManyFacebookFiles_Details,Too many files for facebook platform in use ({0}) only {1} available. Decrease textures or videos usage to stay within,"Слишком много файлов для facebook платформы ({0}), {1} допустимый максимум. Уменьшите число используемых текстур или видео, чтобы оставаться в пределах допустимого",文件数量超出 Facebook 平台限制 ({0})，上限为 {1}。 请减少贴图或视频文件。
ProjectDiagnostics_LP_ManyShaderVariants_Description,Extensive use of shader variants,Использование большого количества шейдер вариантов,过量使用着色器变体
ProjectDiagnostics_LP_ManyShaderVariants_Details,Extensive usage of shader variants negatively affects playable startup time. Please consider them to be less than {0} ({1} found). Check Runtime analysis -> Shaders tab to see used shaders,"Использование большого количества шейдер вариантов приводит к долгим загрузкам креатива. Пожалуйста, постарайтесь уменьшить их количество до {0} ({1} найдено). Перейдите на вкладку Анализ код -> Шейдеры, чтобы увидеть их",过量使用着色器变体会大幅增加载入时间。请确保总数少于  {0} (检测到 {1})。请在 运行时分析 -> 着色器 中检查正在使用的着色器。
,,,
Advanced_Tools_Msbuild_Warning,"The MSBuild path is either invalid, or the msbuild version is incompatible, Please make sure you have a proper path to MSBuild 15 or above configured in Luna UI. Click here to install MSBuild 15","Путь к MSBuild невалиден или выбранная версия несовместима. Пожалуйста, убедитесь, что Вы указали верный путь к MSBuild версии 15 или выше в окне плагина. Нажмите сюда, чтобы установить MSBuild 15 версии.",MSBuild 路径无效或版本不兼容，请确保在 Luna UI 中正确配置了 MSBuild 15 或以上版本的路径。点击这里安装 MSBuild 15
,,,
PlaygroundSection_Applications,Available Applications,Доступные Applications,可选应用
PlaygroundSection_Creatives,Available Creatives,Доступные Креативы,可选创意
PlaygroundSection_CreativeName,Creative Name,Имя Креатива,创意名称
PlaygroundSection_NewCreativeTitle,< New Creative >,< Новый Креатив >,< New Creative >
PlaygroundSection_EmptyNameWarning,Please fill in the Creative name,"Пожалуйста, заполните имя Креатива",请输入创意名称
Popup_RuntimeAnalysisReady_Title,Runtime Analysis,Анализ кода,运行时分析
Popup_RuntimeAnalysisReady_Description,You will now need to play the game through in the browser so the Runtime Analysis tool can find scripts and classes that aren’t used. Play the game and refresh as many times as needed until you feel that you’ve touched all potential parts of the gameplay,"Вам необходимо пройти игру в браузере чтобы Анализ кода мог найти скрипты и классы, которые не используются. Играйте в игру и обновляйте столько раз, сколько необходимо, пока Вы не будете уверены, что затронули все части геймплея",为了让运行时分析工具找出未使用的脚本和类，现在需要您在浏览器中进行游戏。您可以尽可能多次的进行游戏流程直到您觉得所有可能使用的代码都已被检测到。
SizeBreakdownSection_OptimizeScripts,Optimise scripts,Оптимизировать скрипты,优化脚本
SizeBreakdownSection_RuntimeAnalysisSavedSize,{0} was saved by using Runtime Analysis,{0} был сохранен благодаря Анализу кода,使用运行时分析节省了 {0}
SizeBreakdownSection_RuntimeAnalysisNotRun,We recommend running Runtime Analysis to find and remove all unused code,Рекомендуем запустить Анализ кода чтобы найти и исключить весь неиспользуемый код,我们建议使用运行时分析工具来找出并移除未使用的代码
ProjectDiagnostics_LP_ShouldTryRuntimeAnalysis_Description,We recommend running Runtime Analysis to find and remove all unused code,Рекомендуем запустить Анализ кода чтобы найти и исключить весь неиспользуемый код,我们建议使用运行时分析工具来找出并移除未使用的代码
ProjectDiagnostics_LP_ShouldTryRuntimeAnalysis_Details,Navigate to the Runtime Analysis > Code tab to enable code stripping,"Перейдите в секцию Анализ кода > вкладка код, чтобы включить анализ кода",Navigate to the Runtime Analysis > Code tab to enable code stripping
RuntimeAnalysisTab_Title,Runtime Analysis,Анализ кода,运行时分析
RuntimeAnalysisTab_СodeSectionName,Code,Код,代码
RuntimeAnalysisTab_Start,Start Analysis,Начать анализ,开始分析
Popup_RuntimeAnalysisReady_Ok,Okay,Окей,好的
Popup_RuntimeAnalysisReady_Cancel,Cancel,Отмена,取消
RuntimeAnalysisTab_Description,Click 'Start Analysis' to analyse the game during runtime to find and exclude all unused code and redundant shader variants.\nYou must play the entire game to make sure that needed code will not be excluded,"Нажмите 'Начать анализ' чтобы проанализировать билд в браузере для нахождения и исключения всего\nнеиспользуемого кода и лишних шейдер вариантов. Вы должны пройти всю игру чтобы быть уверенными, что\nнеобходимый код не будет исключен",点击 '开始分析' 来找出并排除游戏运行时没有用到的代码 \n您必须通过完整进行游戏流程来确保所有需要的代码不会被排除
RuntimeAnalysisTab_ExcludedCode,Excluded Code,Исключённый код,被排除的代码
RuntimeAnalysisTab_ExcludedModules,Excluded Modules,Исключённые модули,被排除的模块
RuntimeAnalysisTab_ModulePrefix_physics3d,Physics 3D,Physics 3D,Physics 3D
RuntimeAnalysisTab_ModulePrefix_physics2d,Physics 2D,Physics 2D,Physics 2D
RuntimeAnalysisTab_ModulePrefix_particle-system,Particle System,Particle System,Particle System
RuntimeAnalysisTab_ModulePrefix_reflection,Reflection,Reflection,Reflection
RuntimeAnalysisTab_ModulePrefix_prefabs,Prefabs,Prefabs,Prefabs
,,,
RuntimeAnalysisTab_ResetCode,Reset Code,Сбросить код,重置代码
RuntimeAnalysisTab_ResetShaders,Reset Shaders,Сбросить шейдера,重置着色器
,,,
PlaygroundSection_OpenPlayground,Open Create Hub,Открыть Create Hub,打开 Create Hub
PlaygroundSection_RefreshToolTip,Refresh available Applications,Обновить доступные Applications,刷新现有应用
EditorTab_AdNetworkSettings_FbDisableCompression,Disable Compression,Отключить сжатие,禁用压缩
Advanced_ForceBase64,Use Base64 encoding,Сжатие Base64,使用 Base64 编码
SizeBreakdownSection_Base64,"You can reduce size of you playable by up to ~15% by unchecking ""Use Base64 encoding"" in Settings > Advanced tab","Вы можете уменьшить размер билда на ~15%, выключив ""Сжатие Base64"" в Настройки > вкладка Дополнительные",您可以在 设置 > 高级 中取消 “使用 Base64 编码” 来减少 Playable 最多约15%的大小
,,,
ProjectDiagnostics_LP_TextMeshProVersion_Description,This TMP version is not fully supported,Эта версия TMP не поддерживается полностью,此 TMP 版本未被完全支持
ProjectDiagnostics_LP_TextMeshProVersion_Details,"The incorrect Text Mesh Pro for this unity version is in use, please update to the recommended version: {0}","Используется некорректная версия Text Mesh Pro, пожалуйста, обновите ее до рекомендуемой версии: {0}",此 Unity 使用了错误的 Text Mesh Pro 版本，请更新至推荐版本: {0}
Advanced_Preloader_Background_Color,Background Color,Цвет фона,背景颜色
Universal_Reset,Reset,Сбросить,重置
,,,
Advanced_Tools_MSBuildWarning_Path,"<color=white>The MSBuild path is invalid, please specify a valid path to MSBuild version 15 or above.</color>\nClick here to view documentation on how to update or install a new version of MSBuild","<color=white>Путь к MSBuild невалиден, пожалуйста, укажите верный путь к MSBuild версии 15 или выше.</color>\nНажмите сюда, чтобы увидеть документацию или как обновить или установить новую версию MSBuild",<color=white>MSBuild 路径无效，请指定 MSBuild 15 或更高版本的有效路径。</color>\n点击此处查看有关如何更新或安装新版本 MSBuild 的文档
Advanced_Tools_MSBuildWarning_Version,<color=white>The Version of MSBuild you are trying to use does not meet version requirements.</color>\nClick here to view documentation on how to install a new version of MSBuild,"<color=white>Версия MSBuild, которую вы используете, не отвечает требованиям.</color>\nНажмите сюда, чтобы увидеть документацию или как обновить или установить новую версию MSBuild",<color=white>您正在尝试使用的 MSBuild 不符合版本要求。</color>\n点击此处查看关于如何安装新版本 MSBuild 的文档
Advanced_Tools_MSBuildWarning_DotNet,<color=white>The version of MSBuild you are trying to use does not have a required dependency.</color>\nClick here to view how to add the '.Net Desktop Development' workload to your visual studio installation,"<color=white>Версия MSBuild, которую вы используете, не имеет необходимой зависимости.</color>\nНажмите сюда, чтобы узнать как добавить .Net Desktop Development в установщик visual studio",<color=white>您正在尝试使用的 MSBuild 缺少必要的依赖项。</color>\n点击此处查看如何添加 ‘.Net 桌面开发’ 工作负载到您的 Visual Studio 中
MSBuild_WarningBanner,"MSBuild is misconfigured, this prevents playables from being built. Click here to view the Advanced settings tab","MSBuild неправильно настроен, это препятствует сборке билда. Нажмите сюда чтобы перейти в раздел «Дополнительные настройки»",MSBuild 配置不正确，这会阻止构建 Playable。点击此处查看高级设置选项
,,,
SVC_Tab_Label,Shaders,Шейдеры,着色器
SVC_Tab_LunaSVC_AssetNotFound,"""Luna.shadervariants"" asset not found!","""Luna.shadervariants"" ассет не найден!","未找到 ""Luna.shadervariants"" 文件"
SVC_Tab_LunaSVC_Create,Create new Shader Variant Collection,Создать новую коллекцию вариантов,创建新的着色器变体集合
,,,
SVC_Element_AddShaderAndVariants,Add Shader and Variants:,Добавить шейдер и варианты:,添加着色器和变体
SVC_Element_Add,Add,Добавить,添加
SVC_Element_ShowHidden,Show hidden,Показать исключенные,显示隐藏
SVC_Element_WarningMsgTemplate,Filename: {0} Pass: {1} - selected keyword set exist!,Файл: {0} Пасс: {1} - данный вариант уже существует!,文件名: {0} 通道: {1} - 所选关键字集存在!
SVC_Element_ErrorMsgTemplate,Filename: {0} Pass: {1} - does not support two or more keywords from the same shader_feature!,"Файл: {0} Пасс: {1} - Вариант не поддерживается! Возможно, вы используете два кейворда из одной shader_feature!",文件名: {0} 通道: {1} - 不支持来自同一个 shader_feature 的两个或多个关键字!
,,,
SVC_Inspector_ShaderVariants,Shader variants used on scenes,"Шейдер варианты, используемые на сцене",场景中使用的着色器变体
SVC_Inspector_IncludedVariants,Shader variants included by User,"Шейдер варианты, добавленные пользователем",用户包含的着色器变体
SVC_Inspector_ExcludedVariants,Shader variants excluded by User,"Шейдер варианты, исключенные пользователем",用户排除的着色器变体
SVC_Inspector_ParsedShaders,Parsed shaders,Распаршенные шейдер варианты,已解析的着色器
SVC_Inspector_ScenesShadersParsedFor,Scenes shaders parsed for,Сцены с распаршенными вариантами,Scenes shaders parsed for
SVC_Inspector_Window_Btn,Edit,Изменить,编辑
SVC_Inspector_UsedByLuna,Shader variants ( Runtime Analysis ),Шейдер варианты ( Runtime Analysis ),着色器变体 ( Runtime Analysis )
RuntimeAnalysisTab_PauseCode,Disable Code Stripping,Отключить исключение кода,禁用排除无用代码
RuntimeAnalysisTab_PauseShaders,Disable Shader Stripping,Отключить исключение шейдеров,禁用排除无用着色器
RuntimeAnalysisTab_ShadersCount,Platform build shader variants total count,Количество вариантов шейдеров для платформ сборки,平台导出版本着色器变体总数
RuntimeAnalysisTab_ShadersWarning,Shader variants total count might be critical and affect your playable's performance.,Количество шейдер вариантов может стать критическим и повлиять на производительность вашего проекта.,着色器变体总数可能过大并会影响性能。
RuntimeAnalysisTab_ShaderInvalid,invalid,не валидный,无效
RuntimeAnalysisTab_ParsedShadersModified,Following shaders were modified:\n{0}\nThey were removed from Luna shader variant collection! Build and run develop to gather new changes or add it manually.,"Следующие шейдера были изменены:\n{0}\nОни были удалены из списка шейдеров! Соберите билд заново, чтобы собрать все актуальные изменения или добавьте шейдер вручную.",以下着色器被修改:\n{0}\n它们已从 Luna 着色器变体集合中移除。构建并运行 Develop 版本以检测这些新的变化，或手动添加它们。
RuntimeAnalysisTab_FirstDevelopBuild,Build and run develop to see the list of shader variants that were\n used in your project and be able to modify them.,"Соберите и запустите девелоп сборку, чтобы увидеть здесь список используемых\n в проекте вариантов шейдеров и иметь возможность редактировать его",构建并运行 Develop 版本以查看场景中使用到的着色器变体\n 并对它们进行调整。
RuntimeAnalysisTab_FirstDevelopBuild_StrippingDisabledNote,Shader stripping is disabled.,Удаление шейдеров отключено.,着色器剥离未启用
RuntimeAnalysisTab_ShadersBackwardCompabilityExportError,Export error: current shader data in SVC_Luna.asset are not actual and will be deleted. Please build and run develop to gather all new updated shader data. (Starting from 3.8.0),"Ошибка экспорта: существующие данные о шейдерах в SVC_Luna.asset не актуальны и будут автоматически удалены. Пожалуйста, соберите и проиграйте девелоп сборку, чтобы собрать всю новую актуальную информацию о шейдерах. (Начиная с версии 3.8.0)",导出错误: 当前 SVC_Luna.asset 中的着色器数据不可用并已清空。请重新构建并运行 Develop 版本以检测新的着色器数据。(从 3.8.0 起)
RuntimeAnalysisTab_ShadersBackwardCompability,Starting from 3.8.0 all existing shader data in SVC_Luna.asset\nwill be deleted automatically in next export stage.\n You will need to build and run develop to see updated shaders data.,"Начиная c версии 3.8.0 существующие данные\n о шейдерах в SVC_Luna.asset будут автоматически удалены.\nСоберите девелоп сборку снова,\nчтобы увидеть обновленную информацию о шейдерах.",从 3.8.0 起 SVC_Luna.asset 中的着色器数据\n将会在下一次导出时自动清空。\n您需要构建并运行 Develop 版本以查看新的着色器数据
RuntimeAnalysisTab_NoShaderSelected,No shader selected,Не выбран шейдер,未选中任何着色器
RuntimeAnalysisTab_ShaderWasNotParsed,Redundant shader! None of the selected scenes contains shader you want to include.,Неиспользуемый шейдер! Этот шейдер не используется ни в одной из выбранных вами сцен.,冗余的着色器！您想包含的着色器并未被任何所选的场景使用到。
,,,
ProjectDiagnostics_AssetsExportOnly,Build Develop (Assets only),Собрать Develop (ассеты),构建 Develop 版本 (仅资源)
ProjectDiagnostics_CodeExportOnly,Build Develop (Code only),Собрать Develop (код),构建 Develop 版本 (仅代码)
ProjectDiagnostics_OptimiseExportWithCaching,Optimize export with Caching,Кэшировать экспорт,使用缓存优化导出速度
,,,
ProjectDiagnostics_LP_IllegalKeyword_Details,You are using a reserved keyword: {0} for Luna. Please change the name of the field,"Вы используете зарезервированное для Luna ключевое слово: {0}. Пожалуйста, переименуйте имя поля",您正在使用 Luna 保留的关键词: {0}，请进行更改。
ProjectDiagnostics_LP_IllegalKeyword_Description,You are using an illegal keyword: {0},Вы используете нелегальное ключевое слово: {0},您正在使用非法的关键词: {0}
ProjectDiagnostics_LP_APICall_Details,You are not using the Luna API: {0}.{1}. Some ad networks require these calls. Please add these calls to ensure your playable works on all ad networks. Check documentation for more information,"Вы не используете Luna API: {0}.{1}. Некоторые рекламные сети требуют вызова этих API. Пожалуйста, добавьте эти вызовы для того, чтобы быть уверенными, что Ваш плеебл будет работать на всех платформах. Ознакомьтесь с документацией для дополнительной информации",您没有使用到 Luna 的 API: {0}.{1}。一些广告网络需要用到它们。请将缺失的 API 添加到可玩广告中以确保能在所有的网络上正常运行。详情请查看开发文档。
ProjectDiagnostics_LP_APICall_Description,You are not using the Luna API: {0}.{1},Вы не используете Luna API: {0}.{1},您没有使用 Luna 的 API: {0}.{1}
ProjectDiagnostics_LP_APICall_CustomEvents_Details,You are not using any custom events. It is recommended to use custom events to have a better understanding of the playable.,Вы не используете пользовательские события. Рекомендуется использовать пользовательские события для лучшего понимания плеебла.,您没有使用任何自定义事件。建议使用自定义事件来更好的评估可玩广告。
ProjectDiagnostics_LP_APICall_CustomEvents_Description,You are not using any custom events.,Вы не используете пользовательские события.,您没有使用任何自定义事件。
ProjectDiagnostics_LP_APICall_CustomEvents_Count_Details,You are only using {0} custom events. It is recommended to use more custom events to have a better understanding of the playable.,Вы используете только {0} пользовательских событий. Рекомендуется использовать пользовательские события для лучшего понимания плеебла.,您只使用了 {0} 个自定义事件。建议使用更多自定义事件来更好地评估可玩广告。
ProjectDiagnostics_LP_APICall_CustomEvents_Count_Description,You are only using: {0} custom events.,Вы используете только {0} пользовательских событий.,您只使用了 {0} 个自定义事件。
ProjectDiagnostics_LP_APICall_Not_Supported_Details,You are using a function/component which are currently not supported in Luna: {0}{1}.,"Вы используете функцию/компонент, который не поддерживается плагином: {0}{1}.",您正在使用 Luna 目前不支持的函数或组件: {0}{1}
ProjectDiagnostics_LP_APICall_Not_Supported_Description,You are using an unsupported feature: {0}{1},Вы используете неподдерживаемый функционал : {0}{1},您正在使用不支持的功能: {0}{1}
ProjectDiagnostics_LP_Base_Type_Not_Supported_Details,You are using an unsupported base type: {0} which is not supported in ad networks.,"Вы используете неподдерживаемый базовый тип: {0}, который не поддерживается рекламными сетями.","您正在使用不支持的基类型: {0}, 在广告网络上无法使用"
ProjectDiagnostics_LP_Base_Type_Not_Supported_Description,You are using an unsupported base type: {0}.,Вы используете неподдерживаемый базовый тип: {0}.,您正在使用不支持的基类型: {0}
,,,
HealthCheck_LP_ExcessiveComponents_Description,Exceeded {0} recommended count,Превышено рекомендуемое количество - {0},超出了推荐的上限 {0}
HealthCheck_LP_ExcessiveComponents_Details,"Recommended: {0}, current: {1}.","Рекомендовано: {0}, текущее: {1}.","推荐: {0}, 目前: {1}"
ProjectDiagnostics_LP_ExcessiveComponents_Description,Extensive usage of {0} Component,Избыточное использование компонента {0},过量使用 {0} 组件
ProjectDiagnostics_LP_ExcessiveComponents_Details,"There is extensive usage of the {0} component.\nExcessive usage of any component can be detrimental to performance on lower and in some cases higher end devices, consider reducing the amount the component is used.\nRecommended count: {1}\ncurrent count {2}.",Избыточное использование компонента {0}.\nИзбыточное использование любого компонента может привести к падению производительности на слабых устройствах. Рассмотрите возможность уменьшить число таких компонентов.\nРекомендуемое количество: {1}\nтекущее количество {2}.,过量使用 {0} 组件。\n过量使用任何组件都有可能会对性能在低端甚至一些高端设备上的表现造成影响，请考虑减少使用量。\n推荐: {1}\n目前: {2}
Basic_TogglingSceneThatNotInBuildSettingsHelpMessage,Toggling will add this scene to Build Settings/Scenes in Build,При выборе эта сцена будет добавлена в Build Settings/Scenes in Build,勾选将该场景添加至构建设置/构建中场景
ProjectDiagnostics_LP_AnimationCompression_Description,Animation optimisations are disabled,Оптимизация анимаций выключена,动画优化未启用
ProjectDiagnostics_LP_AnimationCompression_Details,Try applying optimisations to your Animations,Попробуйте применить оптимизацию к вашим анимации,请尝试应用动画优化
ProjectDiagnostics_LP_MeshCompression_Description,Mesh optimisations are disabled,Оптимизация мешей выключена,模型网格优化未启用
ProjectDiagnostics_LP_MeshCompression_Details,Try applying optimisations to your meshes,Попробуйте применить оптимизацию к вашим мешам,请尝试应用模型网格优化
,,,
PlaygroundSection_InvalidLinkWarning,"Game install link may be incorrect. Please update it in Settings > Ad Networks tab or hit ""Update Link""","Ссылка на скачивание игры может быть некорректной. Пожалуйста, обновите ее в Настройки > вкладка Рекламные сети или нажмите ""Обновить ссылку""","游戏安装连接可能不正确。请在 Settings > Ad Networks 进行修改或者点击""更新链接"""
PlaygroundSection_UpdateInvalidLink,Update Link,Обновить ссылку,更新链接
ProjectDiagnostics_LP_ClassName_Details,You are using an illegal class name reserved for Luna: {0}. Please change the name of the class: {0},"Вы используете невалидное имя класса, зарезервированное плагином: {0}. Пожалуйста, переименуйте класс: {0}",您正在使用 Luna 保留的类名称: {0}. 请更改名称: {0}
ProjectDiagnostics_LP_ClassName_Description,You are using an illegal class name: {0},Вы используете невалидное имя класса: {0},您正在使用非法的类名称: {0}
Basic_UseDevEnv,Use Dev Environment,Окружение разработчика,使用开发调试环境
,,,
ProjectDiagnostics_FixIssue,Fix Issue,Исправить,修复问题
Popup_ChangeColourSpace_Title,Swap to Gamma Colour Space?,Переключить на Gamma Colour Space?,转换到 Gamma 色彩空间?
Popup_ChangeColourSpace_Description,This action can be reverted in Project Settings,Это действие может быть отменено в Project Settings,此操作可以在项目设定里撤销
Popup_ChangeColourSpace_Ok,Okay,Окей,好的
Popup_ChangeColourSpace_Cancel,Cancel,Отмена,取消
Popup_ChangeColourSpace_Docs,Open Documentation,Открыть документацию,打开文档
,,,
Basic_SceneExclusionHint,Excluded,Исключена,已排除
,,,
ProjectDiagnostics_ErrorType,Error Type,Тип ошибки,错误类型
ProjectDiagnostics_ErrorSubType,Error Sub Type,Подтип ошибки,错误子类型
ProjectDiagnostics_ReadMore,Read more...,Документация,查看更多...
ProjectDiagnostics_LogCount,Log Count:,Число логов:,记录数:
,,,
HealthCheck_PG_Checklist,Checklist,Checklist,检查表
HealthCheck_PG_Status,Status,Status,状态
HealthCheck_PG_CanBeCompiled,Core functionality,Главная фукциональность,核心功能
HealthCheck_PG_CompatibleWithAdNetworks,Ad networks,Рекламные сети,广告网络
HealthCheck_PG_MeetPerformanceRequirements,Technical performance,Технические характеристики,技术性能
HealthCheck_PG_ContainsBestPractises,Best practises,Лучшие практики,最佳实践
HealthCheck_PG_ActionRequired,Action Required,Необходимо действие,需要注意
HealthCheck_PG_Examples,Examples:,Примеры:,例:
HealthCheck_PG_CoreFunctionality_Explanation,"Your project is unable to compile, please fix all compiler errors in order to test and upload your project.","Ваш проект не компилируется. Пожалуйста, исправьте все ошибки компиляции, чтобы протестировать и опубликовать проект.",您的项目无法进行编译，请修复所有编译错误以进行后续的测试和发布
HealthCheck_PG_CoreFunctionality_Examples,"Use of Luna Reserved Keywords, use of unsupported Unity features in Luna.","Использование зарезервированного ключнвого слова, использование неподдерживаемого плагином Unity функционала.  ",使用 Luna 保留的关键词以及 Luna 不支持的 Unity 功能
HealthCheck_PG_AdNetworks_Explanation,Your project is not compatible with all ad networks. This means some ad networks may reject your playable.,"Ваш проект не поддерживается всеми рекламными сетями. Это означает, что некоторые рекламные сети отклонят Ваш плеебл.",您的项目并不兼容所有的广告网络。在一些网络上可能无法过审。
HealthCheck_PG_AdNetworks_Examples,Your project does not include InstallFullGame() or GameEnded() API.,Проект не использует InstallFullGame() или GameEnded() API.,项目没有使用 InstallFullGame() 或 GameEnded() API。
HealthCheck_PG_TechnicalPerformance_Explanation,"Your project does not follow our best practises for playable creatives performance and may not be approved by ad networks, performs poorly or crashes. Playable creatives that do not incorporate our features have a significant lower IPM.","Ваш проект не использует наши лучшие практики для плеебл креативов, и он может быть не одобрен рекламной сетью, плохо оптимизирован или сломаться. Плееблы, которые не используют наш функционал, имеют меньший IPM.",您的项目没有按照最佳实践进行开发，可玩广告可能会出现性能问题导致无法通过广告网络的审核。按照建议开发的情况下，可玩广告会有较高的IPM。
HealthCheck_PG_TechnicalPerformance_Examples,"Your project is not using the correct texture compression, mesh compression, have too many colliders, particles and rigidbodies.","Ваш проект не использует компрессию текстур, мешей, проект имеет слишком много коллайдеров, частиц и твердых тел.",使用贴图压缩，模型网格压缩，避免过多的碰撞器，粒子系统和刚体
HealthCheck_PG_BestPractises_Explanation,Your project does not follow our best practices for playable creatives and may perform poorly as a result. Statistics has shown us playable creatives that do not incorporate the following features have a significant lower IPM than those that do.,"Ваш проект не следует лучшим практикам для плеебл креативов и это может отрицательно сказаться на качестве. Статистика показывает, что плееблы, которые не используют наш функционал, имеют IPM гораздо ниже чем у тех плееблов, которые используют функционал.",您的项目没有按照最佳实践进行开发并可能会有较差的性能。数据表明按照我们的建议开发的可玩广告可以获得更高的IPM。
HealthCheck_PG_BestPractises_Examples,"Your project does not use any Custom Events, does not support all orientations or contains an end card.","Ваш проект не использует пользовательские события, не поддерживает все разрешения или не содержит конечного экрана.",您的项目没有使用任何自定义事件，不支持横竖屏或没有落地页。
HealthCheck_PG_ReadDocs,Read docs,Документация,阅读文档
HealthCheck_PG_ViewIssuesAndFix,View issues and fix,Показать и исправить,查看问题并修复
HealthCheck_PG_CreateHub,Upload to Create Hub,Загрузка в Create Hub,上传到 Create Hub 
,,,
